STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L,TeamID
Gonzaga,15,1,0.938,0,0,31,2,0.9390000000000001,2885,2239,W4,0.0,0.0,87.42424242424242,67.84848484848484,17,0,10,1,4,1,3,1,1
"BYU
BYU",13,3,0.813,0,0,24,8,0.75,2548,2188,L1,0.0,0.0,79.625,68.375,14,1,6,5,4,2,1,2,6
Saint Mary's,11,5,0.688,0,0,26,8,0.765,2559,2276,L1,0.0,0.0,75.26470588235293,66.94117647058823,14,3,6,3,6,2,2,4,18
Pacific,11,5,0.688,0,0,23,10,0.6970000000000001,2300,2128,L1,0.0,0.0,69.6969696969697,64.48484848484848,15,3,7,5,1,2,0,1,32
San Francisco,9,7,0.563,0,0,22,12,0.647,2546,2339,L1,0.0,0.0,74.88235294117645,68.79411764705883,13,5,7,6,2,1,0,3,15
Pepperdine,8,8,0.5,0,0,16,16,0.5,2441,2466,L1,0.0,0.0,76.28125,77.0625,9,5,6,7,1,4,0,4,45
"Santa Clara
SCU",6,10,0.375,0,0,20,13,0.606,2498,2365,L1,0.0,0.0,75.6969696969697,71.66666666666667,16,5,3,7,1,1,0,3,9
"Loyola Marymount
LMU",4,12,0.25,0,0,11,21,0.344,2057,2168,L1,0.0,0.0,64.28125,67.75,7,9,2,9,2,3,0,4,225
"San Diego
U",2,14,0.125,0,0,9,23,0.281,2101,2319,L6,0.0,0.0,65.65625,72.46875,6,9,3,10,0,4,0,4,140
Portland,1,15,0.063,0,0,9,23,0.281,2126,2309,L15,0.0,0.0,66.4375,72.15625,7,9,2,10,0,4,0,1,120
