STA20_Team,STA20_Conf_W,STA20_Conf_L,STA20_Conf_Pct,STA20_Conf_PF,STA20_Conf_PA,STA20_W,STA20_L,STA20_Pct,STA20_PF,STA20_PA,STA20_Strk,STA20_Conf_PPG,STA20_Conf_PAPG,STA20_PPG,STA20_PAPG,STA20_Home_W,STA20_Home_L,STA20_Away_W,STA20_Away_L,STA20_Neutral_W,STA20_Neutral_L,STA20_Top25_W,STA20_Top25_L,TeamID
Creighton,13,5,0.722,0,0,24,7,0.774,2428,2162,W2,0.0,0.0,78.3225806451613,69.74193548387096,17,1,6,5,1,1,6,2,38
Seton Hall,13,5,0.722,0,0,21,9,0.7,2241,2037,L2,0.0,0.0,74.7,67.9,11,4,8,4,2,1,4,5,117
Villanova,13,5,0.722,0,0,24,7,0.774,2269,2058,W2,0.0,0.0,73.19354838709677,66.38709677419354,11,3,9,3,4,1,4,4,208
Providence,12,6,0.667,0,0,19,12,0.613,2214,2051,W6,0.0,0.0,71.4193548387097,66.16129032258064,13,3,5,6,1,3,5,4,125
Butler,10,8,0.556,0,0,22,9,0.71,2125,1926,W3,0.0,0.0,68.54838709677419,62.12903225806453,14,3,5,6,3,0,1,5,167
Marquette,8,10,0.444,0,0,18,12,0.6,2333,2149,L3,0.0,0.0,77.76666666666667,71.63333333333334,13,3,3,8,2,1,2,5,33
Xavier,8,10,0.444,0,0,19,13,0.594,2261,2162,L3,0.0,0.0,70.65625,67.5625,12,5,5,6,2,2,1,3,195
St John's,5,13,0.278,0,0,17,15,0.531,2387,2290,W2,0.0,0.0,74.59375,71.5625,13,6,1,8,3,1,2,6,59
Georgetown,5,13,0.278,0,0,15,17,0.469,2389,2364,L7,0.0,0.0,74.65625,73.875,10,8,4,7,1,2,3,6,35
DePaul,3,15,0.16699999999999998,0,0,16,16,0.5,2262,2274,W1,0.0,0.0,70.6875,71.0625,11,7,4,9,1,0,1,4,126
